workerId,ID,pairID,count,event,eventCat,construction,sentence
A38IXDI5371P7Z,42,4,2.0,encouraging,DM,TRA,
A38IXDI5371P7Z,21,7,2.0,thanking,DM,INT,
A38IXDI5371P7Z,13,6,2.0,poking,PC,INT,
A38IXDI5371P7Z,65,73,1.0,filler,filler,filler,
A38IXDI5371P7Z,47,5,2.0,recognizing,DM,INT,
A38IXDI5371P7Z,67,75,6.0,filler,filler,filler,
A38IXDI5371P7Z,69,77,24.0,filler,filler,filler,
A1OXHIJ79K3D2E,50,6,1.0,supporting,DM,TRA,
A1OXHIJ79K3D2E,58,66,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,24,2,1.0,lecturing,DC,TRA,
A1OXHIJ79K3D2E,68,76,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,12,5,100.0,cuddling,PC,TRA,
A1OXHIJ79K3D2E,74,82,2.0,filler,filler,filler,
A1OXHIJ79K3D2E,62,70,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,77,85,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,63,71,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,39,3,2.0,assuring,DM,INT,
A1OXHIJ79K3D2E,19,1,4.0,scolding,DC,INT,
A1OXHIJ79K3D2E,53,61,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,29,5,1.0,presenting,DC,INT,
A1OXHIJ79K3D2E,79,87,2.0,filler,filler,filler,
A1OXHIJ79K3D2E,55,63,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,71,79,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,64,72,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,75,83,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,78,86,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,32,6,1.0,addressing,DC,TRA,
A1OXHIJ79K3D2E,38,2,4.0,assisting,DM,TRA,
A1OXHIJ79K3D2E,61,69,7.0,filler,filler,filler,
A1OXHIJ79K3D2E,16,7,2.0,shaking,PC,TRA,
A1OXHIJ79K3D2E,54,62,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,57,65,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,3,2,4.0,kicking,PC,INT,
A1OXHIJ79K3D2E,28,4,1.0,speaking,DC,TRA,
A1OXHIJ79K3D2E,73,81,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,59,67,5.0,filler,filler,filler,
A1OXHIJ79K3D2E,2,1,1.0,kissing,PC,TRA,
A1OXHIJ79K3D2E,9,4,1.0,embracing,PC,INT,
A1OXHIJ79K3D2E,72,80,5.0,filler,filler,filler,
A1OXHIJ79K3D2E,6,3,1.0,hugging,PC,TRA,
A1OXHIJ79K3D2E,76,84,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,56,64,100.0,filler,filler,filler,
A1OXHIJ79K3D2E,66,74,2.0,filler,filler,filler,
A1OXHIJ79K3D2E,35,1,1.0,advising,DM,INT,
A1OXHIJ79K3D2E,70,78,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,60,68,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,25,3,1.0,talking,DC,INT,
A1OXHIJ79K3D2E,42,4,3.0,encouraging,DM,TRA,
A1OXHIJ79K3D2E,21,7,1.0,thanking,DM,INT,
A1OXHIJ79K3D2E,13,6,7.0,poking,PC,INT,
A1OXHIJ79K3D2E,65,73,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,47,5,1.0,recognizing,DM,INT,
A1OXHIJ79K3D2E,67,75,1.0,filler,filler,filler,
A1OXHIJ79K3D2E,69,77,4.0,filler,filler,filler,
A36XEP5H6KBQIB,50,6,1.0,supporting,DM,TRA,
A36XEP5H6KBQIB,58,66,3.0,filler,filler,filler,
A36XEP5H6KBQIB,24,2,2.0,lecturing,DC,TRA,
A36XEP5H6KBQIB,68,76,1.0,filler,filler,filler,
A36XEP5H6KBQIB,12,5,1.0,cuddling,PC,TRA,
A36XEP5H6KBQIB,74,82,3.0,filler,filler,filler,
A36XEP5H6KBQIB,62,70,1.0,filler,filler,filler,
A36XEP5H6KBQIB,77,85,10.0,filler,filler,filler,
A36XEP5H6KBQIB,63,71,1.0,filler,filler,filler,
A36XEP5H6KBQIB,39,3,1.0,assuring,DM,INT,
A36XEP5H6KBQIB,19,1,4.0,scolding,DC,INT,
A36XEP5H6KBQIB,53,61,3.0,filler,filler,filler,
A36XEP5H6KBQIB,29,5,2.0,presenting,DC,INT,
A36XEP5H6KBQIB,79,87,2.0,filler,filler,filler,
A36XEP5H6KBQIB,55,63,1.0,filler,filler,filler,
A36XEP5H6KBQIB,71,79,2.0,filler,filler,filler,
A36XEP5H6KBQIB,64,72,1.0,filler,filler,filler,
A36XEP5H6KBQIB,75,83,5.0,filler,filler,filler,
A36XEP5H6KBQIB,78,86,5.0,filler,filler,filler,
A36XEP5H6KBQIB,32,6,1.0,addressing,DC,TRA,
A36XEP5H6KBQIB,38,2,3.0,assisting,DM,TRA,
A36XEP5H6KBQIB,61,69,3.0,filler,filler,filler,
A36XEP5H6KBQIB,16,7,1.0,shaking,PC,TRA,
A36XEP5H6KBQIB,54,62,1.0,filler,filler,filler,
A36XEP5H6KBQIB,57,65,2.0,filler,filler,filler,
A36XEP5H6KBQIB,3,2,2.0,kicking,PC,INT,
