workerId,pair,rating,event,eventCat,construction
A3774HPOUKYTX7,6,2.0,supporting,DM,TRA
A3774HPOUKYTX7,66,7.0,filler,filler,filler
A3774HPOUKYTX7,2,1.0,lecturing,DC,TRA
A3774HPOUKYTX7,76,3.0,filler,filler,filler
A3774HPOUKYTX7,5,1.0,cuddling,PC,TRA
A3774HPOUKYTX7,82,2.0,filler,filler,filler
A3774HPOUKYTX7,70,1.0,filler,filler,filler
A3774HPOUKYTX7,85,4.0,filler,filler,filler
A3774HPOUKYTX7,71,3.0,filler,filler,filler
A3774HPOUKYTX7,3,2.0,assuring,DM,INT
A3774HPOUKYTX7,1,3.0,scolding,DC,INT
A3774HPOUKYTX7,61,3.0,filler,filler,filler
A3774HPOUKYTX7,5,4.0,presenting,DC,INT
A3774HPOUKYTX7,87,3.0,filler,filler,filler
A3774HPOUKYTX7,63,2.0,filler,filler,filler
A3774HPOUKYTX7,79,4.0,filler,filler,filler
A3774HPOUKYTX7,72,1.0,filler,filler,filler
A3774HPOUKYTX7,83,3.0,filler,filler,filler
A3774HPOUKYTX7,86,3.0,filler,filler,filler
A3774HPOUKYTX7,6,1.0,addressing,DC,TRA
A3774HPOUKYTX7,2,3.0,assisting,DM,TRA
A3774HPOUKYTX7,69,2.0,filler,filler,filler
A3774HPOUKYTX7,7,3.0,shaking,PC,TRA
A3774HPOUKYTX7,62,2.0,filler,filler,filler
A3774HPOUKYTX7,65,2.0,filler,filler,filler
A3774HPOUKYTX7,2,1.0,kicking,PC,INT
A3774HPOUKYTX7,4,4.0,speaking,DC,TRA
A3774HPOUKYTX7,81,4.0,filler,filler,filler
A3774HPOUKYTX7,67,3.0,filler,filler,filler
A3774HPOUKYTX7,1,3.0,kissing,PC,TRA
A3774HPOUKYTX7,4,2.0,embracing,PC,INT
A3774HPOUKYTX7,80,2.0,filler,filler,filler
A3774HPOUKYTX7,3,3.0,hugging,PC,TRA
A3774HPOUKYTX7,84,3.0,filler,filler,filler
A3774HPOUKYTX7,64,5.0,filler,filler,filler
A3774HPOUKYTX7,74,4.0,filler,filler,filler
A3774HPOUKYTX7,1,3.0,advising,DM,INT
A3774HPOUKYTX7,78,3.0,filler,filler,filler
A3774HPOUKYTX7,68,4.0,filler,filler,filler
A3774HPOUKYTX7,3,2.0,talking,DC,INT
A3774HPOUKYTX7,4,3.0,encouraging,DM,TRA
A3774HPOUKYTX7,7,2.0,thanking,DM,INT
A3774HPOUKYTX7,6,1.0,poking,PC,INT
A3774HPOUKYTX7,73,2.0,filler,filler,filler
A3774HPOUKYTX7,5,3.0,recognizing,DM,INT
A3774HPOUKYTX7,75,2.0,filler,filler,filler
ABX5OQLR6UNBC,6,1.0,supporting,DM,TRA
ABX5OQLR6UNBC,66,2.0,filler,filler,filler
ABX5OQLR6UNBC,2,1.0,lecturing,DC,TRA
ABX5OQLR6UNBC,76,6.0,filler,filler,filler
ABX5OQLR6UNBC,5,1.0,cuddling,PC,TRA
ABX5OQLR6UNBC,82,6.0,filler,filler,filler
ABX5OQLR6UNBC,70,1.0,filler,filler,filler
ABX5OQLR6UNBC,85,6.0,filler,filler,filler
ABX5OQLR6UNBC,71,5.0,filler,filler,filler
ABX5OQLR6UNBC,3,4.0,assuring,DM,INT
ABX5OQLR6UNBC,1,2.0,scolding,DC,INT
ABX5OQLR6UNBC,61,6.0,filler,filler,filler
ABX5OQLR6UNBC,5,3.0,presenting,DC,INT
ABX5OQLR6UNBC,87,3.0,filler,filler,filler
ABX5OQLR6UNBC,63,2.0,filler,filler,filler
ABX5OQLR6UNBC,79,7.0,filler,filler,filler
ABX5OQLR6UNBC,72,6.0,filler,filler,filler
ABX5OQLR6UNBC,83,6.0,filler,filler,filler
ABX5OQLR6UNBC,86,6.0,filler,filler,filler
ABX5OQLR6UNBC,6,1.0,addressing,DC,TRA
ABX5OQLR6UNBC,2,1.0,assisting,DM,TRA
ABX5OQLR6UNBC,69,2.0,filler,filler,filler
ABX5OQLR6UNBC,7,1.0,shaking,PC,TRA
ABX5OQLR6UNBC,62,1.0,filler,filler,filler
ABX5OQLR6UNBC,65,7.0,filler,filler,filler
ABX5OQLR6UNBC,2,1.0,kicking,PC,INT
ABX5OQLR6UNBC,4,2.0,speaking,DC,TRA
ABX5OQLR6UNBC,81,6.0,filler,filler,filler
ABX5OQLR6UNBC,67,6.0,filler,filler,filler
ABX5OQLR6UNBC,1,1.0,kissing,PC,TRA
ABX5OQLR6UNBC,4,1.0,embracing,PC,INT
ABX5OQLR6UNBC,80,7.0,filler,filler,filler
ABX5OQLR6UNBC,3,1.0,hugging,PC,TRA
ABX5OQLR6UNBC,84,7.0,filler,filler,filler
ABX5OQLR6UNBC,64,1.0,filler,filler,filler
ABX5OQLR6UNBC,74,6.0,filler,filler,filler
ABX5OQLR6UNBC,1,2.0,advising,DM,INT
ABX5OQLR6UNBC,78,6.0,filler,filler,filler
ABX5OQLR6UNBC,68,6.0,filler,filler,filler
ABX5OQLR6UNBC,3,1.0,talking,DC,INT
ABX5OQLR6UNBC,4,2.0,encouraging,DM,TRA
ABX5OQLR6UNBC,7,1.0,thanking,DM,INT
ABX5OQLR6UNBC,6,1.0,poking,PC,INT
ABX5OQLR6UNBC,73,1.0,filler,filler,filler
ABX5OQLR6UNBC,5,1.0,recognizing,DM,INT
ABX5OQLR6UNBC,75,1.0,filler,filler,filler
AW34JRQ2PDQAV,6,1.0,supporting,DM,TRA
AW34JRQ2PDQAV,66,7.0,filler,filler,filler
AW34JRQ2PDQAV,2,1.0,lecturing,DC,TRA
AW34JRQ2PDQAV,76,6.0,filler,filler,filler
AW34JRQ2PDQAV,5,1.0,cuddling,PC,TRA
AW34JRQ2PDQAV,82,6.0,filler,filler,filler
AW34JRQ2PDQAV,70,1.0,filler,filler,filler
AW34JRQ2PDQAV,85,6.0,filler,filler,filler
AW34JRQ2PDQAV,71,1.0,filler,filler,filler
AW34JRQ2PDQAV,3,3.0,assuring,DM,INT
AW34JRQ2PDQAV,1,2.0,scolding,DC,INT
AW34JRQ2PDQAV,61,7.0,filler,filler,filler
AW34JRQ2PDQAV,5,1.0,presenting,DC,INT
AW34JRQ2PDQAV,87,4.0,filler,filler,filler
